Date,DBSize
11/7/2019 6:59,3.6
11/8/2019 6:58,3.71
11/9/2019 6:59,3.81
11/10/2019 6:59,3.92
11/11/2019 6:58,4.02
11/12/2019 6:58,4.08
11/13/2019 6:58,4.14
11/14/2019 6:59,4.19
11/15/2019 6:03,4.24
11/16/2019 6:58,4.29
11/17/2019 6:00,4.35
11/18/2019 6:57,4.4
11/19/2019 6:03,4.46
11/20/2019 6:04,4.51
11/21/2019 6:04,4.57
11/22/2019 6:03,4.62
11/23/2019 6:00,4.67
11/24/2019 6:33,4.72
11/25/2019 6:04,4.78
11/26/2019 6:03,4.83
11/27/2019 6:03,4.89
11/28/2019 6:58,4.94
11/29/2019 6:02,4.99
11/30/2019 6:58,5.05
12/1/2019 6:58,5.1
12/2/2019 6:58,5.17
12/3/2019 6:58,5.21
12/4/2019 6:58,5.26
12/5/2019 6:58,5.32
12/6/2019 6:59,5.37
12/7/2019 6:59,5.42
12/8/2019 6:15,5.48
12/9/2019 6:58,5.53
12/10/2019 6:57,5.58
12/11/2019 6:58,5.64
